career_id,career,faculty,n_2026,pi_honesto,n_estimado_anomalo,pct_estimado_anomalo
22,CIRUJANO DENTISTA,FES IZTACALA,2516,0.5513377547457596,1128.8342090596689,44.86622452542404
116,URBANISMO,FACULTAD DE ARQUITECTURA,106,0.5716609649776015,45.40393771237424,42.83390350223984
107,RELACIONES INTERNACIONALES,FES ACATLAN,804,0.5722341827754176,343.92371704856424,42.77658172245824
93,MEDICO CIRUJANO,FES IZTACALA,5521,0.5762690418025718,2339.4186202080014,42.37309581974282
96,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,871,0.5764187109431186,368.9393027685437,42.35812890568814
93,MEDICO CIRUJANO,FES ZARAGOZA,4268,0.5796244068218573,1794.163031684313,42.037559317814264
107,RELACIONES INTERNACIONALES,FES ARAGON,1124,0.5807621760456405,471.22331412470004,41.92378239543595
22,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGIA,2497,0.5861608564498106,1033.3563414448229,41.38391435501894
22,CIRUJANO DENTISTA,FES ZARAGOZA,2292,0.5863503123487799,948.0850840965966,41.364968765122015
27,DERECHO,FES ACATLAN,1623,0.5937400369569888,659.3599200188071,40.62599630430112
27,DERECHO,FES ARAGON,2477,0.5944863592001981,1004.4572882611093,40.55136407998019
73,INGENIERIA PETROLERA,FACULTAD DE INGENIERIA,447,0.6025889510268401,177.6427388910025,39.74110489731599
6,ARQUITECTURA,FES ARAGON,1603,0.6066161273988362,630.5943477796656,39.33838726011638
2,ADMINISTRACION,FACULTAD DE CONTADURIA Y ADMINISTRACION,5958,0.611454350377646,2314.954980449985,38.85456496223541
38,ENFERMERIA,FES IZTACALA,1588,0.6158301114586944,610.0617830035933,38.416988854130565
95,NUTRIOLOGIA,FES ZARAGOZA,1373,0.6228694964631134,517.8001813561453,37.71305035368866
71,INGENIERIA MECANICA,FES ARAGON,791,0.6366197649655354,287.4337659122615,36.33802350344646
93,MEDICO CIRUJANO,FACULTAD DE MEDICINA,13144,0.6501076764913065,4598.984700198267,34.98923235086935
27,DERECHO,FACULTAD DE DERECHO,4935,0.6510025380400735,1722.3024747722375,34.899746195992655
19,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,1370,0.6514158185083819,477.56032864351675,34.85841814916181
