career_id,career,faculty,tasa_aceptacion_historica,tasa_aceptacion_2026,aciertos_corte_hist,aciertos_corte_2026,percentil_de_corte_hist_en_2026,percentil_de_corte_2026_en_hist,aciertos_top_hist_p99.5,aciertos_top_2026_p99.5,percentil_top_hist_en_2026,percentil_top_2026_en_hist
22,CIRUJANO DENTISTA,FES IZTACALA,0.05558135673065191,0.0711446740858505,85.0,108.07114467408564,61.486486486486484,99.8010998010998,104.0,116.0,86.40699523052464,99.98829998829999
93,MEDICO CIRUJANO,FES ZARAGOZA,0.011893984442717755,0.0164011246485473,108.0,116.01640112464884,85.76616682286786,99.97228093274661,111.0,118.0,90.41705716963449,99.99133779148332
93,MEDICO CIRUJANO,FES IZTACALA,0.018716885284662144,0.035863068284731,107.0,114.03586306828493,81.92356457163558,99.73065948425291,113.0,118.0,93.92320231842058,99.98666631110163
22,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGIA,0.04659844935611604,0.0644773728474169,95.0,111.06447737284725,67.86143372046456,99.7990068574131,109.0,117.0,89.5074088906688,99.9704421849137
22,CIRUJANO DENTISTA,FES ZARAGOZA,0.0522599529503436,0.0741710296684118,87.0,108.07417102966838,64.63787085514834,99.77715522730168,104.0,117.0,86.78010471204189,99.99363300649433
96,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,0.08520116620424481,0.0918484500574052,79.0,104.09184845005746,58.84041331802526,99.52761035999347,104.0,114.0,90.29850746268657,99.96742140413747
107,RELACIONES INTERNACIONALES,FES ARAGON,0.05434567131211825,0.0871886120996441,87.0,104.08718861209968,66.90391459074733,99.30254476908576,107.0,115.0,94.66192170818506,99.99057492931196
107,RELACIONES INTERNACIONALES,FES ACATLAN,0.06629925148048166,0.1293532338308457,86.0,102.12935323383101,62.3134328358209,98.85973347987361,106.0,115.0,93.59452736318408,99.9862618491551
116,URBANISMO,FACULTAD DE ARQUITECTURA,0.17435781630340444,0.2264150943396226,78.0,98.22641509433963,47.16981132075472,97.75967413441956,108.09500000000003,110.475,97.16981132075472,99.69450101832994
27,DERECHO,FES ACATLAN,0.11209224986373892,0.2858903265557609,72.0,86.285890326556,53.912507701786815,96.46848181762054,101.0,114.8900000000001,89.40234134319162,99.99382601716367
27,DERECHO,FES ARAGON,0.11039313782996062,0.2184093661687525,73.0,92.21840936616877,54.9454985870004,98.3186276366115,100.0,115.0,88.5345175615664,99.98863937592304
2,ADMINISTRACION,FACULTAD DE CONTADURIA Y ADMINISTRACION,0.05626472816166463,0.0720040281973816,90.0,107.07200402819763,69.08358509566969,99.46137807783956,108.0,116.0,93.42900302114805,99.9702144559174
95,NUTRIOLOGIA,FES ZARAGOZA,0.0190127161223112,0.0502549162418062,97.0,108.05025491624178,83.68536052439913,99.72134633717093,106.0,115.0,92.64384559359068,99.97066803549167
93,MEDICO CIRUJANO,FACULTAD DE MEDICINA,0.013980753280117377,0.0206177723676202,111.0,116.02061777236668,88.03636640292149,99.80796517768555,115.0,119.0,95.50365185636032,99.98666424845038
73,INGENIERIA PETROLERA,FACULTAD DE INGENIERIA,0.15797660904507593,0.1387024608501118,72.0,97.13870246085014,50.22371364653244,98.28522434981424,105.0,115.76999999999998,93.0648769574944,99.94284081166047
6,ARQUITECTURA,FES ARAGON,0.05165841279986332,0.0642545227698066,79.0,102.06425452276994,65.09669369931379,99.77198449494566,98.0,113.0,88.95820336868371,100.0
71,INGENIERIA MECANICA,FES ARAGON,0.05689401499003537,0.0518331226295828,82.0,103.05183312262955,70.79646017699115,99.52615992102665,103.0,114.0,94.31099873577749,100.0
38,ENFERMERIA,FES IZTACALA,0.06081700200452189,0.1032745591939546,77.0,101.103274559194,64.4206549118388,99.63252488808712,100.0,116.0,88.0352644836272,100.0
19,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,0.04071158993238835,0.0525547445255474,96.0,108.05255474452565,78.32116788321167,99.27750410509032,110.0,116.0,96.05839416058393,99.96715927750411
27,DERECHO,FACULTAD DE DERECHO,0.09200485228779277,0.1171225937183384,87.0,104.1171225937187,63.37386018237082,98.60973923350456,109.0,116.0,93.50557244174266,99.96666337416042
